2026-05-16 16:45:27.718 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for SI=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:45:30.367 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for SI=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:45:33.039 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 3 failed for SI=F: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:45:35.040 | ERROR    | app.data_fetcher:_fetch_ticker:65 - Failed to fetch SI=F after 3 attempts
2026-05-16 16:45:35.690 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 1 failed for GLD: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:45:38.364 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 2 failed for GLD: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:45:41.014 | WARNING  | app.data_fetcher:_fetch_ticker:63 - Attempt 3 failed for GLD: Too Many Requests. Rate limited. Try after a while.
2026-05-16 16:45:43.015 | ERROR    | app.data_fetcher:_fetch_ticker:65 - Failed to fetch GLD after 3 attempts
2026-05-16 16:45:43.015 | WARNING  | app.data_fetcher:_calculate_indicators:72 - No gold data to calculate indicators
2026-05-16 16:45:43.015 | WARNING  | __main__:generate_web_only:127 - Using default research-based indicators
2026-05-16 16:45:43.015 | INFO     | app.report_generator:generate:444 - Generating HTML report...
2026-05-16 16:45:43.029 | INFO     | app.report_generator:generate:504 - HTML report generated successfully
2026-05-16 16:45:43.042 | INFO     | __main__:_save_web_report:111 - Report saved to /mnt/agents/output/xauusd-reporter/web/index.html
2026-05-16 16:45:43.043 | INFO     | __main__:generate_web_only:140 - Web report saved: /mnt/agents/output/xauusd-reporter/web/index.html
